City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
381,Namatanai,PG,83.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
383,Ugoofaaru,MV,82.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
388,Ulaangom,MN,80.8,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
392,Marsh Harbour,BS,82.67,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
393,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
394,Diffa,NE,81.25,overcast clouds,13.3154,12.6113,ProDAF/Diffa
395,Haapiti,PF,82.13,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
396,Bonthe,SL,75.9,moderate rain,7.5264,-12.505,Bonthe Holiday Village
398,Ambulu,ID,81.7,clear sky,-8.345,113.6058,Hotel Ambulu Jember
402,Kumluca,TR,82.42,clear sky,36.3703,30.2869,TurkuazKöy
406,French Harbor,HN,84.2,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
407,Vanimo,PG,81.82,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
408,Limbe,CM,76.24,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
410,Linxia,CN,76.44,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
416,Samur,RU,77.47,overcast clouds,41.8253,48.486,Samur
418,Kharar,IN,82.36,overcast clouds,30.7444,76.6478,OYO 19817 Hotel Sartaj
419,Gunjur,GM,78.87,broken clouds,13.2019,-16.7339,Kuba Lodge
420,Le Moule,GP,77.04,clear sky,16.3332,-61.3473,Lakaz Hananou
421,Manzanillo,CU,78.91,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
424,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
425,Derzhavinsk,KZ,75.0,clear sky,51.1,66.3167,Ooo.khim Baza
426,Porbandar,IN,82.63,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
431,Bhimunipatnam,IN,78.31,overcast clouds,17.8833,83.4333,Bheemili Court
432,Bud,US,76.91,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
434,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
436,Faanui,PF,77.95,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
439,Mangan,IN,83.07,few clouds,27.5167,88.5333,Hotel Mout View
441,Kavieng,PG,84.22,light rain,-2.5744,150.7967,Nusa Island Retreat
444,Fereydun Kenar,IR,83.73,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
448,Marang,MY,78.71,light rain,5.2056,103.2059,DBarakah Homestay
451,Nago,JP,82.56,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
455,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
456,Lingao,CN,84.45,broken clouds,19.9103,109.6859,Lingao Ditai Inn
461,Jalu,LY,77.85,clear sky,29.0331,21.5482,صاحبة الفخامة
471,Samana,DO,79.27,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
472,Bacolod,PH,82.65,moderate rain,10.6667,122.95,Planta Hotel & Residences
475,Sungairaya,ID,85.89,broken clouds,0.7,108.9,Mess P.Milu
476,Miri,MY,84.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
479,Hays,US,78.42,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
483,Xihe,CN,82.9,broken clouds,31.6864,113.4659,Xintiandi Business Hotel
484,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
485,Dromolaxia,CY,78.66,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
486,Ypsonas,CY,77.76,haze,34.6884,32.9574,Club Aphrodite
487,Torbat-E Jam,IR,81.64,clear sky,35.244,60.6225,White building
488,Moussoro,TD,78.89,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
490,Acarau,BR,79.16,clear sky,-2.8856,-40.12,castelo pizzaria
492,Nanzhang,CN,80.44,overcast clouds,31.7765,111.8386,Longmenkezhan
500,Udalguri,IN,83.1,overcast clouds,26.7667,92.1333,"Army Camp, Golandi"
501,Camocim,BR,78.39,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
503,Hanchuan,CN,84.31,broken clouds,30.65,113.7667,金鲤湖宾馆
504,Abonnema,NG,77.29,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
508,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
510,Khatra,IN,81.79,moderate rain,22.9833,86.85,Wi-Destination Solutions
512,Palaikastron,GR,77.43,clear sky,35.2,26.25,Marina Village
513,Pasighat,IN,88.38,clear sky,28.0667,95.3333,Siang Guest House
519,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
520,Morehead,US,77.11,clear sky,37.2711,-87.1764,CCI Express Inn
521,Port Said,EG,80.58,few clouds,31.2565,32.2841,Aracan Hotel
522,Amahai,ID,80.37,broken clouds,-3.3333,128.9167,HOTEL ISABELA
523,Azare,NG,75.09,overcast clouds,11.6765,10.1948,Muk hostel
524,Bowen,AU,75.42,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
528,Canyon,US,83.64,clear sky,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
532,Gat,IL,76.41,broken clouds,31.61,34.7642,OlusHome
538,Gravelbourg,CA,86.27,broken clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
540,Xinye,CN,80.71,overcast clouds,32.5186,112.3522,Lijing International Hotel
541,San Marcos,US,83.86,haze,33.1434,-117.1661,Hampton Inn San Marcos
544,Sao Felix Do Xingu,BR,77.65,broken clouds,-6.6447,-51.995,Rio Xingu Camping
546,San Francisco,US,83.82,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
554,Itainopolis,BR,75.87,clear sky,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
556,Lucea,JM,84.06,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
558,Kirakira,SB,84.13,broken clouds,-10.4544,161.9205,SanBiz Lodge
559,Prabumulih,ID,83.21,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
561,Harper,LR,75.58,light rain,4.375,-7.7169,Screensaver
568,Coahuayana,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
571,Ishigaki,JP,78.93,mist,24.3448,124.1572,Hotel Peace Land Ishigakijima
572,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
576,Penarroya-Pueblonuevo,ES,77.11,clear sky,38.3,-5.2667,Casa Rural Los Miraderos De Cristina
579,Matay,EG,80.08,clear sky,28.419,30.7792,Nag Aespen
580,Kalmunai,LK,82.13,light rain,7.4167,81.8167,VS Villa
583,Umm Lajj,SA,83.7,scattered clouds,25.0213,37.2685,Moon light Furnished Units
585,Kiunga,PG,75.76,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
586,Tura,IN,80.42,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
590,Bireun,ID,83.59,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
591,Kotra,IN,82.42,moderate rain,25.8167,79.3167,Kotra
595,Houma,US,84.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
597,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
599,Seminole,US,83.62,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
600,Aquiraz,BR,83.21,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
602,Banjarmasin,ID,78.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
604,Marawi,PH,77.11,overcast clouds,7.9986,124.2928,Derogongan Residence
605,Smidovich,RU,88.59,broken clouds,48.6,133.8167,Gostinnitsa
608,Auki,SB,83.97,scattered clouds,-8.7676,160.7034,Auki Motel
609,Pacific Grove,US,79.81,broken clouds,36.6177,-121.9166,Lovers Point Inn
612,Pawai,IN,82.56,broken clouds,24.2667,80.1667,parth Palace Pawai
613,Bubaque,GW,80.29,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
614,Labrea,BR,76.06,few clouds,-7.2586,-64.7981,Hotel Novo Horizonte
616,Chumphon,TH,82.38,overcast clouds,10.3333,98.8333,สกาน จ๋า.
617,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
618,Bardiyah,LY,77.59,clear sky,31.7561,25.0865,بورتو بردية
621,Do Gonbadan,IR,80.69,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
622,Cam Ranh,VN,87.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
623,Tambovka,RU,82.51,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
630,Kismayo,SO,76.73,broken clouds,-0.3582,42.5454,Agan-Hotel
631,Bahraich,IN,83.43,overcast clouds,27.5833,81.6,Narain Guest House
633,Madang,PG,81.93,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
640,Ouargaye,BF,78.17,broken clouds,11.5033,0.0572,Résidence le Cotonnier
646,Waingapu,ID,83.07,few clouds,-9.6567,120.2641,Pondok Wisata Elim
650,Yamethin,MM,77.45,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
651,Bucerias,MX,81.66,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
652,Dushanbe,TJ,76.82,few clouds,38.5577,68.7797,هتل سِرِنا دوشنبه
653,Jiayuguan,CN,84.58,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
654,Mitsamiouli,KM,76.91,few clouds,-11.3847,43.2844,Foyer ADM
659,San Policarpo,PH,87.76,light rain,12.1791,125.5072,JM Lodge
660,Paola,IT,76.21,scattered clouds,39.3599,16.0396,Blumentag
661,Bandarbeyla,SO,78.85,scattered clouds,9.4942,50.8122,JABIR HOTEL
663,Kurayoshi,JP,84.02,overcast clouds,35.4333,133.8167,Hotel Ark 21
665,San Antonio,US,76.28,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
666,Posyet,RU,83.84,broken clouds,42.6508,130.8046,"Baza Otdykha ""Lazurnaya Gavan'"""
673,Eydhafushi,MV,81.57,overcast clouds,5.1033,73.0708,Soneva Fushi
677,Kudahuvadhoo,MV,83.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
678,Gashua,NG,81.0,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
685,Sirjan,IR,76.87,clear sky,29.452,55.6814,MAPNA Building
686,Fangshan,CN,82.26,overcast clouds,39.6983,115.9925,Super 8 Beijing Fangshan Yanhua Subway Station
