City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Partizanskoye,55.5006,94.39,55.98,86,6,3.0,clear sky
124,Jacareacanga,-6.2222,-57.7528,95.31,46,0,4.61,clear sky
125,Cabo San Lucas,22.8909,-109.9124,84.78,65,0,8.72,clear sky
126,Nabire,-3.3667,135.4833,75.25,90,95,3.89,overcast clouds
127,Altamira,-3.2033,-52.2064,93.29,52,40,6.91,scattered clouds
128,Te Anau,-45.4167,167.7167,34.79,90,51,0.78,broken clouds
129,Soyo,-6.1349,12.3689,71.94,83,20,10.22,few clouds
130,Agadez,19.75,10.25,100.0,12,39,11.01,scattered clouds
131,Hami,42.8,93.45,96.42,15,100,12.88,overcast clouds
132,Cuenca,-2.8833,-78.9833,53.64,88,100,2.06,light rain
133,Abu Samrah,35.3029,37.1841,78.19,64,0,12.73,clear sky
134,Esperance,-33.8667,121.9,49.77,73,0,16.44,clear sky
135,Clarksburg,39.2807,-80.3445,80.71,43,1,6.91,clear sky
136,Touros,-5.1989,-35.4608,83.3,69,49,18.81,scattered clouds
137,Taoudenni,22.6783,-3.9836,109.69,11,7,12.91,clear sky
138,San Cristobal,7.7669,-72.225,67.05,96,100,5.01,overcast clouds
139,Piacabucu,-10.4056,-36.4344,77.59,71,0,10.85,clear sky
140,Canchungo,12.0672,-16.0333,89.67,77,55,10.25,broken clouds
141,Stuttgart,48.7823,9.177,76.8,52,0,6.91,clear sky
142,Mecca,21.4267,39.8261,87.69,46,49,6.58,scattered clouds
143,Geraldton,-28.7667,114.6,54.01,94,90,9.22,overcast clouds
144,Namatanai,-3.6667,152.4333,77.88,83,6,6.6,light rain
145,Alofi,-19.0595,-169.9187,76.96,81,78,15.7,broken clouds
146,Hasaki,35.7333,140.8333,75.49,84,31,4.97,scattered clouds
147,Mahibadhoo,3.7833,72.9667,82.63,75,100,14.32,overcast clouds
148,Sandy Bay,-42.913,147.3532,51.3,64,75,3.0,broken clouds
149,Sitka,57.0531,-135.33,57.09,72,75,6.91,broken clouds
150,Saskylakh,71.9167,114.0833,56.62,76,100,10.38,light rain
151,Tiksi,71.6872,128.8694,40.24,83,100,4.7,overcast clouds
152,Ushibuka,32.1906,130.0228,77.92,80,100,9.6,overcast clouds
153,Umm Kaddadah,13.6017,26.6876,87.78,42,52,12.44,broken clouds
154,Pisco,-13.7,-76.2167,64.45,72,90,6.91,overcast clouds
155,Dikson,73.5069,80.5464,40.62,100,100,24.58,overcast clouds
156,Brigham City,41.5102,-112.0155,93.18,31,1,1.99,clear sky
157,Norman Wells,65.282,-126.8329,71.64,60,75,12.66,broken clouds
158,Barrow,71.2906,-156.7887,35.62,93,90,12.66,overcast clouds
159,Nizhneangarsk,55.7833,109.55,50.61,92,74,1.68,broken clouds
160,Poum,-20.2333,164.0167,70.45,75,2,11.25,clear sky
161,Lakes Entrance,-37.8811,147.981,50.58,71,100,3.38,light rain
162,Davidson,36.1501,-86.7833,91.11,52,20,4.0,few clouds
163,Nanortalik,60.1432,-45.2371,45.23,88,26,12.01,scattered clouds
164,Nattam,10.2333,78.2333,80.02,66,100,5.26,overcast clouds
165,Fort Nelson,58.8053,-122.7002,54.99,94,75,6.91,light intensity shower rain
166,Camacha,33.0833,-16.3333,68.58,91,32,17.83,scattered clouds
167,Riverton,40.5219,-111.9391,93.7,35,1,1.01,clear sky
168,Maumere,-8.6199,122.2111,75.16,78,31,5.01,scattered clouds
169,Olinda,-8.0089,-34.8553,78.53,61,40,18.41,scattered clouds
170,Emba,48.8264,58.1442,85.68,31,21,5.06,few clouds
171,Yumen,40.2833,97.2,82.04,33,14,21.25,few clouds
172,Pauri,30.15,78.7833,66.38,84,56,3.4,broken clouds
173,Carnarvon,-24.8667,113.6333,55.47,76,2,6.91,clear sky
174,Huarmey,-10.0681,-78.1522,70.21,69,2,11.86,clear sky
175,Oktyabrskoye,43.0645,44.7417,64.54,100,79,11.18,broken clouds
176,Saint George,37.1041,-113.5841,92.88,39,69,2.89,broken clouds
177,Ilulissat,69.2167,-51.1,48.22,66,75,10.36,broken clouds
178,Longyearbyen,78.2186,15.6401,49.84,62,75,17.27,broken clouds
179,Suntar,62.1444,117.6319,61.63,84,68,4.72,broken clouds
180,Rawson,-43.3002,-65.1023,61.65,29,100,12.82,overcast clouds
181,Koumac,-20.5667,164.2833,66.31,81,2,6.85,clear sky
182,Grand Gaube,-20.0064,57.6608,70.38,69,44,7.0,scattered clouds
183,Kultuk,51.7208,103.6956,61.57,97,100,4.18,overcast clouds
184,Palmas,-10.2128,-48.3603,91.27,38,20,9.22,few clouds
185,Mayor Pablo Lagerenza,-19.9309,-60.7718,94.86,15,0,9.06,clear sky
186,Yichang,30.7144,111.2847,77.59,93,96,0.96,light rain
187,Mar Del Plata,-38.0023,-57.5575,63.12,59,0,11.01,clear sky
188,Cap Malheureux,-19.9842,57.6142,72.48,67,43,20.11,scattered clouds
189,Kapoeta,4.7717,33.5903,78.85,58,68,5.91,broken clouds
190,Sola,-13.8833,167.55,75.87,100,20,0.0,few clouds
191,Natal,-5.795,-35.2094,84.42,58,75,23.02,broken clouds
192,Imeni Babushkina,59.7573,43.1285,54.21,68,83,4.63,broken clouds
193,Naukot,24.8587,69.4024,87.19,68,0,16.33,clear sky
194,Sao Miguel Do Araguaia,-13.275,-50.1628,94.5,19,7,7.43,clear sky
195,Lavrentiya,65.5833,-171.0,38.68,87,100,4.74,overcast clouds
196,Plettenberg Bay,-34.0527,23.3716,48.13,80,87,7.0,light rain
197,Bengkulu,-3.8004,102.2655,75.42,87,13,3.6,few clouds
198,Boddam,57.4667,-1.7833,64.38,85,35,2.55,scattered clouds
199,San Quintin,30.4833,-115.95,76.19,69,14,10.49,few clouds
200,Erzin,36.9559,36.2,83.12,89,42,4.18,scattered clouds
201,Khatanga,71.9667,102.5,51.03,93,0,7.47,clear sky
202,Bodden Town,19.2833,-81.25,89.6,70,20,12.66,few clouds
203,Lorengau,-2.0226,147.2712,81.3,79,95,2.98,overcast clouds
204,Siilinjarvi,63.0833,27.6667,57.22,82,57,9.22,broken clouds
205,Killybegs,54.6333,-8.45,78.46,65,100,5.35,overcast clouds
206,Caravelas,-17.7125,-39.2481,74.62,65,6,9.69,clear sky
207,Thinadhoo,0.5333,72.9333,82.08,74,100,9.62,moderate rain
208,Lompoc,34.6391,-120.4579,84.13,77,90,9.22,mist
209,Baculin,7.4525,126.5842,79.95,68,100,4.32,overcast clouds
210,Saint-Joseph,-21.3667,55.6167,68.36,75,33,10.78,scattered clouds
211,Praia Da Vitoria,38.7333,-27.0667,73.65,64,40,12.71,scattered clouds
212,Marfino,55.7028,37.3822,61.95,54,17,5.68,few clouds
213,Cabedelo,-6.9811,-34.8339,77.54,78,66,18.81,broken clouds
214,Brae,60.3964,-1.353,53.51,80,98,8.28,overcast clouds
215,Jinchang,38.4953,102.1739,76.84,44,11,1.54,few clouds
216,San Patricio,28.017,-97.5169,91.49,51,34,12.88,scattered clouds
217,Dingle,10.9995,122.6711,77.09,88,100,11.03,overcast clouds
218,Bethel,41.3712,-73.414,82.09,54,20,1.01,few clouds
219,Bambous Virieux,-20.3428,57.7575,70.21,77,75,11.5,broken clouds
220,Hays,30.0502,-98.0336,91.27,63,5,5.99,clear sky
221,Berlevag,70.8578,29.0864,44.55,81,75,28.77,broken clouds
222,Dunedin,-45.8742,170.5036,41.81,72,3,1.99,clear sky
223,Borzya,50.3833,116.5167,61.74,97,98,2.77,overcast clouds
224,Balrampur,27.4333,82.1833,83.05,85,100,7.4,overcast clouds
225,Pevek,69.7008,170.3133,39.51,73,100,1.41,overcast clouds
226,College,64.8569,-147.8028,72.28,58,75,3.44,smoke
227,Tacuarembo,-31.7333,-55.9833,67.48,56,100,5.01,overcast clouds
228,Saint Anthony,45.0205,-93.218,84.25,60,75,9.22,broken clouds
229,Tuktoyaktuk,69.4541,-133.0374,50.0,100,90,17.27,mist
230,Buin,-33.7333,-70.75,79.12,20,100,3.18,overcast clouds
231,Satun,6.8333,100.0,76.44,96,100,1.54,overcast clouds
232,Kaitangata,-46.2817,169.8464,41.94,78,15,6.24,few clouds
233,Ostrovnoy,68.0531,39.5131,43.59,80,24,13.89,few clouds
234,Taman,45.2117,36.7161,71.92,66,93,11.5,overcast clouds
235,Grunberg,50.594,8.9587,75.49,94,0,2.93,clear sky
236,Porto Novo,6.4965,2.6036,80.42,76,18,8.59,few clouds
237,Ndele,8.4109,20.6473,69.19,98,100,2.71,overcast clouds
238,Suez,29.9737,32.5263,82.29,61,0,11.72,clear sky
239,San Rafael,-34.6177,-68.3301,72.41,13,100,7.96,overcast clouds
240,Pangnirtung,66.1451,-65.7125,48.2,81,75,19.57,broken clouds
241,Ambagarh Chauki,20.7833,80.7167,77.74,90,100,7.9,moderate rain
242,Rocha,-34.4833,-54.3333,59.9,64,100,6.33,overcast clouds
243,Sabha,27.0377,14.4283,89.71,20,0,11.39,clear sky
244,Along,28.1667,94.7667,75.38,96,8,1.7,clear sky
245,Yulara,-25.2406,130.9889,46.24,66,0,6.91,clear sky
246,Kodiak,57.79,-152.4072,54.91,88,90,14.97,moderate rain
247,Sao Felix Do Xingu,-6.6447,-51.995,97.45,24,47,5.03,scattered clouds
248,Kasamwa,-2.85,32.4333,69.03,37,1,3.24,clear sky
249,Esmeraldas,-19.7625,-44.3139,77.11,26,98,6.42,overcast clouds
250,Tuatapere,-46.1333,167.6833,39.81,86,10,5.35,clear sky
251,Verkhoyansk,67.5447,133.385,55.49,73,0,3.96,clear sky
252,Mattru,7.6244,-11.8332,74.1,96,99,4.07,moderate rain
253,Durban,-29.8579,31.0292,58.12,54,0,16.53,clear sky
254,Sinop,41.7711,34.8709,62.83,85,4,7.78,clear sky
255,Casablanca,33.5928,-7.6192,75.6,69,2,8.79,clear sky
256,Hithadhoo,-0.6,73.0833,79.92,81,100,13.22,light rain
257,North Bend,43.4065,-124.2243,76.24,62,1,13.8,clear sky
258,Harper,4.375,-7.7169,77.41,76,91,9.95,overcast clouds
259,Bambanglipuro,-7.95,110.2833,74.44,89,30,4.72,scattered clouds
260,Korla,41.7597,86.1469,87.49,20,94,4.61,overcast clouds
261,Bilma,18.6853,12.9164,102.67,12,100,8.84,overcast clouds
262,Zacatepec,18.65,-99.2,86.77,49,32,1.61,scattered clouds
263,Cayenne,4.9333,-52.3333,84.54,70,5,9.91,clear sky
264,Port Moresby,-9.4431,147.1797,72.72,88,67,9.04,broken clouds
265,Kautokeino,69.0125,23.0412,43.23,88,100,12.01,overcast clouds
266,Saint-Francois,46.4154,3.9054,80.04,47,0,5.75,clear sky
267,Itarema,-2.9248,-39.9167,83.34,65,8,20.07,clear sky
268,Tiznit,29.5833,-9.5,92.68,24,39,4.21,scattered clouds
269,Pozo Colorado,-23.4923,-58.7972,91.42,16,0,7.45,clear sky
270,Mackay,-21.15,149.2,54.05,93,7,4.61,clear sky
271,Maple Creek,49.9168,-109.4848,83.97,21,0,8.05,clear sky
272,Clyde River,70.4692,-68.5914,41.23,93,90,4.61,fog
273,Saint-Georges,12.0564,-61.7485,87.48,70,20,23.02,few clouds
274,Yarada,17.65,83.2667,79.12,89,75,11.5,broken clouds
275,Nikolskoye,59.7035,30.7861,67.89,72,100,6.42,light rain
276,Aklavik,68.2191,-135.0107,56.12,88,90,17.27,overcast clouds
277,Karratha,-20.7377,116.8463,69.75,35,43,10.94,scattered clouds
278,Tessalit,20.1986,1.0114,81.95,56,100,27.72,overcast clouds
279,Havoysund,70.9963,24.6622,43.68,77,100,21.32,overcast clouds
280,Port Blair,11.6667,92.75,82.24,86,100,21.9,light rain
281,Boralday,43.3578,76.8594,71.46,53,40,2.24,scattered clouds
282,Warmbad,-28.45,18.7333,45.64,36,0,9.33,clear sky
283,Weymouth,42.2209,-70.9398,83.28,51,40,1.01,scattered clouds
284,Jos,9.9167,8.9,66.02,94,78,6.42,moderate rain
285,Alta Floresta,-9.8756,-56.0861,96.62,23,20,11.5,few clouds
286,Bay Roberts,47.5999,-53.2648,55.15,92,94,5.99,overcast clouds
287,Lethem,3.3803,-59.7968,86.81,64,41,3.78,scattered clouds
288,Stromness,58.965,-3.296,57.45,89,14,6.98,few clouds
289,Lata,40.1629,-8.3327,80.04,59,78,7.49,broken clouds
290,Xuanwu,32.069,118.8138,79.81,96,38,7.16,scattered clouds
