City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.58,84,28,11.01,scattered clouds
193,Teya,RU,60.3778,92.6267,72.63,49,0,2.59,clear sky
194,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.05,35,100,5.77,overcast clouds
195,Lebu,CL,-37.6167,-73.65,50.43,84,100,7.14,overcast clouds
196,Broome,US,42.2506,-75.833,64.85,74,1,1.01,clear sky
197,Mersing,MY,2.4312,103.8405,82.31,89,40,4.61,scattered clouds
198,Saint George,US,37.1041,-113.5841,88.27,56,75,7.0,thunderstorm
199,Port Lincoln,AU,-34.7333,135.8667,56.41,65,78,11.79,broken clouds
200,Jacareacanga,BR,-6.2222,-57.7528,80.13,44,57,2.24,broken clouds
201,Kavaratti,IN,10.5669,72.642,81.84,82,100,25.32,overcast clouds
202,Rylsk,RU,51.5655,34.6822,51.55,77,1,5.99,clear sky
203,Fuling,CN,29.7022,107.3919,87.22,67,46,1.32,scattered clouds
204,Muzhi,RU,65.3667,64.6667,52.07,58,100,8.46,overcast clouds
205,Bhawana,PK,31.5692,72.649,91.02,56,7,6.91,clear sky
206,Yeppoon,AU,-23.1333,150.7333,71.38,51,0,10.02,clear sky
207,Vila Velha,BR,-20.3297,-40.2925,64.35,94,40,3.44,scattered clouds
208,Fortuna,US,40.5982,-124.1573,64.92,67,20,3.0,few clouds
209,Baijiantan,CN,45.6333,85.1833,87.55,28,16,5.19,few clouds
210,Sola,VU,-13.8833,167.55,80.76,79,32,16.35,scattered clouds
211,Lorengau,PG,-2.0226,147.2712,85.05,70,65,7.31,broken clouds
212,Zyryanka,RU,65.75,150.85,68.56,48,100,11.81,overcast clouds
213,Newport,GB,51.5877,-2.9984,69.69,83,100,2.35,overcast clouds
214,Sibolga,ID,1.7427,98.7792,81.59,72,100,1.01,overcast clouds
215,Acapulco,MX,16.8634,-99.8901,85.82,66,75,9.22,broken clouds
216,Deputatskiy,RU,69.3,139.9,60.35,53,36,7.34,scattered clouds
217,College,US,64.8569,-147.8028,82.38,40,40,9.22,smoke
218,Deniliquin,AU,-35.5333,144.9667,48.0,92,100,7.65,overcast clouds
219,Aklavik,CA,68.2191,-135.0107,61.63,54,45,18.61,scattered clouds
220,Toyooka,JP,35.5333,134.8333,87.85,66,75,4.61,broken clouds
221,Tongren,CN,27.7172,109.1853,84.15,76,62,6.69,light rain
222,Molina,CL,-35.1167,-71.2833,46.36,100,90,4.61,fog
223,Egvekinot,RU,66.3167,-179.1667,46.31,70,65,4.07,broken clouds
224,Torbay,CA,47.6666,-52.7314,52.57,99,90,10.36,light intensity drizzle
225,Kaabong,UG,3.4836,34.1492,65.01,71,36,4.07,scattered clouds
226,Olga,RU,43.7444,135.2892,88.9,55,36,5.1,scattered clouds
227,Lazaro Cardenas,MX,17.9583,-102.2,82.47,80,29,6.06,scattered clouds
228,Abancay,PE,-13.6339,-72.8814,53.28,84,2,3.2,clear sky
229,Kitovo,RU,56.8659,41.2825,57.58,65,95,6.22,overcast clouds
230,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.67,76,0,3.6,clear sky
231,Hualmay,PE,-11.0964,-77.6139,64.04,82,8,9.82,clear sky
232,Haines Junction,CA,60.7522,-137.5108,66.15,42,11,12.66,few clouds
233,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,77,20,9.06,few clouds
234,Launceston,AU,-41.45,147.1667,50.61,86,90,4.0,overcast clouds
235,Cabo San Lucas,MX,22.8909,-109.9124,96.51,51,1,9.22,clear sky
236,Peleduy,RU,59.6289,112.7406,72.63,66,89,6.87,overcast clouds
237,Oudtshoorn,ZA,-33.5907,22.2014,43.16,84,82,1.01,broken clouds
238,Priiskovyy,RU,51.9333,116.6333,68.0,91,97,6.87,light rain
239,Redlands,US,34.0556,-117.1825,97.45,43,75,1.01,broken clouds
240,Nisia Floresta,BR,-6.0911,-35.2086,75.58,88,34,10.02,scattered clouds
241,Mareeba,AU,-17.0,145.4333,81.32,65,26,2.37,scattered clouds
242,Litovko,RU,49.2361,135.1742,93.02,46,96,6.58,overcast clouds
243,Hambantota,LK,6.1241,81.1185,80.94,89,90,10.36,overcast clouds
244,Gorontalo,ID,0.5412,123.0595,86.23,64,14,4.85,few clouds
245,Hofn,IS,64.2539,-15.2082,53.22,98,100,3.96,overcast clouds
246,Manokwari,ID,-0.8667,134.0833,83.46,70,39,3.85,scattered clouds
247,Zhigansk,RU,66.7697,123.3711,68.31,62,100,4.27,overcast clouds
248,Alekseyevka,RU,50.6309,38.6903,55.96,63,0,7.23,clear sky
249,Castro,BR,-24.7911,-50.0119,47.19,63,0,3.47,clear sky
250,Hov,NO,60.6987,10.3519,60.31,87,21,2.21,few clouds
251,Raymond,US,43.9015,-70.4703,66.22,82,7,4.61,clear sky
252,Tilichiki,RU,60.4667,166.1,63.81,57,100,7.87,overcast clouds
253,Labuhan,ID,-6.8844,112.2051,83.43,68,8,4.5,clear sky
254,Mende,FR,44.6667,3.5,58.35,70,1,3.09,clear sky
255,San Quintin,MX,30.4833,-115.95,71.4,79,1,10.11,clear sky
256,Port Moresby,PG,-9.4431,147.1797,85.42,62,40,11.5,haze
257,Khani,GE,41.9563,42.9566,60.37,94,70,1.48,broken clouds
258,Fort Nelson,CA,58.8053,-122.7002,58.59,94,90,3.44,light intensity shower rain
259,Lisakovsk,KZ,52.5369,62.4936,76.68,50,58,8.34,broken clouds
260,Saint-Pierre,RE,-21.3393,55.4781,65.84,63,0,9.22,clear sky
261,Taloqan,AF,36.7361,69.5345,84.09,21,0,4.45,clear sky
262,Avarua,CK,-21.2078,-159.775,80.65,74,75,12.66,broken clouds
263,Leningradskiy,RU,69.3833,178.4167,39.65,81,100,11.01,overcast clouds
264,Muros,ES,42.7762,-9.0603,64.9,87,98,5.28,overcast clouds
265,Makakilo City,US,21.3469,-158.0858,84.52,58,90,12.66,overcast clouds
266,Tombouctou,ML,20.0,-3.0,92.64,29,3,8.48,clear sky
267,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,40,17.27,scattered clouds
