City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Shitanjing,CN,2021-07-21 13:01:14,39.2342,106.3439,78.64,47,37,21.83
117,Mehamn,NO,2021-07-21 13:01:14,71.0357,27.8492,46.35,81,75,21.85
118,Wladyslawowo,PL,2021-07-21 13:01:15,54.7909,18.4009,73.76,62,77,9.75
119,Port Said,EG,2021-07-21 13:01:15,31.2565,32.2841,82.62,67,1,13.33
120,Phimai,TH,2021-07-21 13:01:16,15.2232,102.4947,80.11,81,100,10.09
121,Dalbandin,PK,2021-07-21 13:01:17,28.8947,64.4101,100.6,8,0,16.49
122,Port Alfred,ZA,2021-07-21 13:01:17,-33.5906,26.891,63.95,27,0,27.49
123,Saint-Augustin,CA,2021-07-21 13:01:18,51.226,-58.6502,62.62,61,99,8.59
124,Hithadhoo,MV,2021-07-21 13:01:18,-0.6,73.0833,82.42,75,100,15.39
125,Ushtobe,KZ,2021-07-21 13:01:19,45.2514,77.9838,93.92,19,100,14.65
126,Dikson,RU,2021-07-21 13:01:19,73.5069,80.5464,52.83,56,8,16.44
127,Catubig,PH,2021-07-21 13:01:20,12.4098,125.0548,80.47,83,100,9.73
128,Kokopo,PG,2021-07-21 13:01:20,-4.352,152.2633,76.91,87,74,8.7
129,Ulaangom,MN,2021-07-21 13:01:20,49.9811,92.0667,75.76,34,0,4.79
130,Wahiawa,US,2021-07-21 13:01:21,21.5028,-158.0236,74.77,87,75,0.0
131,Kalevala,RU,2021-07-21 13:01:22,65.2,31.1667,58.62,42,100,10.67
132,Taoudenni,ML,2021-07-21 12:51:27,22.6783,-3.9836,118.67,5,73,12.3
133,Kapaa,US,2021-07-21 13:01:22,22.0752,-159.319,75.18,83,98,1.99
134,Bambous Virieux,MU,2021-07-21 12:52:19,-20.3428,57.7575,68.25,94,75,16.11
135,Townsville,AU,2021-07-21 13:01:23,-19.25,146.8,56.28,82,96,0.0
136,Qaqortoq,GL,2021-07-21 13:01:24,60.7167,-46.0333,46.9,99,100,10.0
137,Conde,BR,2021-07-21 13:01:24,-7.2597,-34.9075,79.48,71,25,15.66
138,Burns Lake,CA,2021-07-21 13:00:10,54.2331,-125.7533,47.53,96,100,4.14
139,Fairbanks,US,2021-07-21 13:01:25,64.8378,-147.7164,61.61,76,100,1.83
140,Pisco,PE,2021-07-21 13:01:25,-13.7,-76.2167,60.03,90,36,1.83
141,Alibag,IN,2021-07-21 13:01:26,18.6411,72.8792,82.47,85,100,21.45
142,Ketchikan,US,2021-07-21 13:01:26,55.3422,-131.6461,55.87,94,90,0.0
143,Marawi,PH,2021-07-21 13:01:27,7.9986,124.2928,69.94,84,100,5.1
